client_id,unique_classes
0,6
1,5
2,6
3,7
4,6
5,7
6,7
7,5
8,6
9,6
10,7
11,6
12,6
13,6
14,7
15,6
16,12
17,6
18,5
19,6
20,6
21,6
22,5
23,5
24,6
25,7
26,5
27,9
28,7
29,5
30,5
31,5
32,7
33,6
34,7
35,7
36,5
37,6
38,6
39,6
40,7
41,6
42,5
43,7
44,5
45,5
46,7
47,5
48,5
49,6
50,7
51,5
52,5
53,5
54,6
55,6
56,6
57,6
58,7
59,5
60,6
61,5
62,6
63,6
64,6
65,6
66,5
67,5
68,7
69,7
70,6
71,6
72,6
73,6
74,7
75,6
76,6
77,7
78,6
79,7
80,6
81,7
82,7
83,5
84,5
85,7
86,6
87,6
88,6
89,5
90,7
91,6
92,7
93,6
94,6
95,6
96,7
97,6
98,6
99,6
