client_id,unique_classes
0,50
1,51
2,51
3,50
4,51
5,50
6,50
7,51
8,50
9,51
10,51
11,50
12,51
13,50
14,51
15,51
16,31
17,50
18,50
19,50
20,52
21,51
22,51
23,50
24,51
25,50
26,50
27,45
28,51
29,51
30,51
31,50
32,50
33,51
34,50
35,52
36,51
37,50
38,51
39,50
40,50
41,51
42,51
43,50
44,51
45,50
46,51
47,50
48,50
49,51
50,51
51,51
52,50
53,50
54,50
55,50
56,50
57,50
58,52
59,51
60,51
61,50
62,50
63,50
64,50
65,51
66,50
67,51
68,51
69,50
70,51
71,50
72,51
73,51
74,51
75,50
76,51
77,51
78,50
79,50
80,51
81,50
82,52
83,51
84,50
85,50
86,51
87,51
88,50
89,50
90,50
91,50
92,51
93,51
94,51
95,51
96,51
97,51
98,51
99,50
