client_id,selected_count
1,283
2,178
3,139
4,101
5,131
6,178
7,339
8,314
9,190
10,110
11,243
12,113
13,108
14,181
15,136
16,124
17,170
18,113
19,115
20,141
21,107
22,114
23,185
24,281
25,131
26,108
27,104
28,230
29,114
30,104
31,123
32,131
33,125
34,104
35,113
36,233
37,137
38,207
39,146
40,105
41,127
42,153
43,99
44,345
45,312
46,278
47,167
48,171
49,298
50,119
51,305
52,103
53,227
54,183
55,98
56,112
57,119
58,282
59,139
60,107
61,108
62,153
63,253
64,146
65,98
66,126
67,164
68,154
69,164
70,131
71,106
72,108
73,101
74,270
75,289
76,139
77,156
78,169
79,110
80,161
81,177
82,158
83,108
84,101
85,144
86,297
87,109
88,141
89,141
90,276
91,169
92,105
93,140
94,102
95,105
96,105
97,138
98,197
99,104
100,124
